"","Kendall.tau","value","variation","R0","Noise_levels"
"1",-0.85,-0.416666666666667,"AR1","1.1","High_noise"
"2",-0.433333333333333,-0.583333333333333,"AR1","1.1","High_noise"
"3",-0.05,-0.466666666666667,"AR1","1.1","High_noise"
"4",-0.0833333333333333,0,"AR1","1.1","High_noise"
"5",0.516666666666667,-0.383333333333333,"AR1","1.1","High_noise"
"6",-0.183333333333333,-0.166666666666667,"AR1","1.1","High_noise"
"7",-0.516666666666667,-0.05,"AR1","1.1","High_noise"
"8",0.116666666666667,-0.35,"AR1","1.1","High_noise"
"9",0.0166666666666667,-0.883333333333333,"AR1","1.1","High_noise"
"10",-0.483333333333333,-0.783333333333333,"AR1","1.1","High_noise"
"11",0.316666666666667,-0.0333333333333333,"AR1","1.1","High_noise"
"12",0.666666666666667,-0.1,"AR1","1.1","High_noise"
"13",0.0833333333333333,-0.8,"AR1","1.1","High_noise"
"14",0.216666666666667,0.233333333333333,"AR1","1.1","High_noise"
"15",-0.05,0.55,"AR1","1.1","High_noise"
"16",-0.566666666666667,-0.3,"AR1","1.1","High_noise"
"17",-0.566666666666667,0.183333333333333,"AR1","1.1","High_noise"
"18",0.583333333333333,0.4,"AR1","1.1","High_noise"
"19",-0.0666666666666667,-0.466666666666667,"AR1","1.1","High_noise"
"20",0.533333333333333,0.483333333333333,"AR1","1.1","High_noise"
"21",0.2,-0.75,"AR1","1.1","High_noise"
"22",-0.233333333333333,0.416666666666667,"AR1","1.1","High_noise"
"23",0.366666666666667,-0.333333333333333,"AR1","1.1","High_noise"
"24",0.533333333333333,-0.65,"AR1","1.1","High_noise"
"25",0.2,-0.283333333333333,"AR1","1.1","High_noise"
"26",0.4,-0.383333333333333,"AR1","1.1","High_noise"
"27",-0.35,-0.35,"AR1","1.1","High_noise"
"28",0.733333333333333,0.0333333333333333,"AR1","1.1","High_noise"
"29",0.45,-0.366666666666667,"AR1","1.1","High_noise"
"30",-0.266666666666667,0,"AR1","1.1","High_noise"
